답사여부,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,나무품격명,나무지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
X,홍성군청,8-12-0264,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,530,15,470,,시·군나무,전,,,,충청남도 홍성군 서부면 이호리 296-1,36.5819819,126.5117504,2023-12-31
X,홍성군청,8-12-0247,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,530,18,440,,시·군나무,임야,,,,충청남도 홍성군 홍동면 수란리 산15-4,36.5769901,126.727023,2023-12-31
X,홍성군청,8-12-0273,1982-10-01,,거목,팽나무,Celtis sinensis Pers.,팽나무,1,530,20,420,,시·군나무,임야,,,,충청남도 홍성군 갈산면 오두리 290-1,36.603647,126.5161687,2023-12-31
X,홍성군청,8-12-0235,1982-10-01,,거목,회화나무,Sophora japonica L.,회화나무,1,520,16,700,,시·군나무,도로,,,,충청남도 홍성군 광천읍 매현리 산94,36.5283691,126.6338905,2023-12-31
X,홍성군청,8-12-0275,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,520,20,510,,시·군나무,대,,,,충청남도 홍성군 구항면 내현리 273-1,36.5724472,126.6099142,2023-12-31
X,홍성군청,8-12-0239,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,520,20,500,,시·군나무,대,,,,충청남도 홍성군 홍북면 내덕리 592-2,36.6179683,126.68577,2023-12-31
X,홍성군청,8-12-0259,1982-10-01,,거목,은행나무,Ginkgo biloba L.,은행나무,1,520,30,480,,시·군나무,학교용지,,,,충청남도 홍성군 결성면 읍내리459-1,36.5254241,126.5425463,2023-12-31
X,홍성군청,8-12-0238,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,520,20,450,,시·군나무,대,,,,충청남도 홍성군 홍북면 내덕리 591-2,36.6174431,126.6861188,2023-12-31
X,홍성군청,8-12-0245,1982-10-01,,거목,은행나무,Ginkgo biloba L.,은행나무,1,520,20,450,,시·군나무,대,,,,충청남도 홍성군 홍동면 원천리 421,36.5532125,126.6567201,2023-12-31
X,홍성군청,8-12-0272,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,505,18,600,,시·군나무,임야,,,,충청남도 홍성군 갈산면 신안리 산61-1,36.6087569,126.5757404,2023-12-31
